source,target,weight
Thornton Station,Metford Station,3633
Thornton Station,Beresfield Station,3766
Metford Station,Victoria Street Station,3633
Metford Station,Thornton Station,3766
Victoria Street Station,East Maitland Station,2148
Victoria Street Station,Metford Station,3766
Victoria Street Station,Maitland Station,1485
East Maitland Station,High Street Station,2148
East Maitland Station,Victoria Street Station,2064
High Street Station,Maitland Station,2148
High Street Station,East Maitland Station,2064
Maitland Station,Lochinvar Station,346
Maitland Station,Victoria Street Station,1702
Maitland Station,High Street Station,2064
Maitland Station,Telarah Station,3012
Lochinvar Station,Greta Station,346
Lochinvar Station,Maitland Station,346
Greta Station,Branxton Station,346
Greta Station,Lochinvar Station,346
Branxton Station,Singleton Station,346
Branxton Station,Greta Station,346
Singleton Station,Muswellbrook Station,312
Singleton Station,Branxton Station,346
Muswellbrook Station,Aberdeen Station,249
Muswellbrook Station,Singleton Station,311
Aberdeen Station,Scone Station,249
Aberdeen Station,Muswellbrook Station,248
Scone Station,Aberdeen Station,248
Telarah Station,Maitland Station,3250
Telarah Station,Mindaribba Station,393
Mindaribba Station,Paterson Station,393
Mindaribba Station,Telarah Station,380
Paterson Station,Martins Creek Station,393
Paterson Station,Mindaribba Station,380
Paterson Station,Telarah Station,12
Martins Creek Station,Hilldale Station,393
Martins Creek Station,Paterson Station,392
Hilldale Station,Wallarobba Station,393
Hilldale Station,Martins Creek Station,392
Wallarobba Station,Wirragulla Station,393
Wallarobba Station,Hilldale Station,392
Wirragulla Station,Dungog Station,393
Wirragulla Station,Wallarobba Station,392
Dungog Station,Wirragulla Station,392
Lithgow Station,Zig Zag Station,193
Lithgow Station,Bell Station,105
Lithgow Station,Bathurst Station,149
Lithgow Station,Rydal Station,127
Lithgow Station,Mount Victoria Station,138
Zig Zag Station,Bell Station,193
Zig Zag Station,Lithgow Station,201
Bell Station,Mount Victoria Station,298
Bell Station,Lithgow Station,95
Bell Station,Zig Zag Station,201
Mount Victoria Station,Blackheath Station,450
Mount Victoria Station,Bell Station,296
Mount Victoria Station,Katoomba Station,138
Mount Victoria Station,Lithgow Station,138
Blackheath Station,Medlow Bath Station,450
Blackheath Station,Mount Victoria Station,439
Medlow Bath Station,Katoomba Station,450
Medlow Bath Station,Blackheath Station,439
Katoomba Station,Leura Station,510
Katoomba Station,Medlow Bath Station,439
Katoomba Station,Springwood Station,138
Katoomba Station,Mount Victoria Station,138
Leura Station,Wentworth Falls Station,510
Leura Station,Katoomba Station,516
Wentworth Falls Station,Bullaburra Station,426
Wentworth Falls Station,Leura Station,516
Wentworth Falls Station,Hazelbrook Station,84
Bullaburra Station,Lawson Station,426
Bullaburra Station,Wentworth Falls Station,459
Lawson Station,Hazelbrook Station,426
Lawson Station,Bullaburra Station,459
Hazelbrook Station,Woodford Station,426
